timestamp,leadId,nombre,telefono,canalOrigen,painPoint,scoringBot,conversacionCompleta,citaAgendada,fechaCita,asistio,cerroVenta,importeVenta,tiempoRespuestaBot,mensajesIntercambiados,estadoActual
"2025-12-18T15:15:56.178Z","LEAD-1053","Usuario 1053","+34 60 95 6 40","Instagram","Pérdida peso","D",true,true,"2025-12-20T12:00:00.000Z","",false,"",1,22,"Cita Agendada"
"2025-12-18T10:58:56.178Z","LEAD-1098","Usuario 1098","+34 68 72 4 76","Facebook","Pérdida peso","A",true,true,"2025-12-21T11:00:00.000Z","",false,"",10,19,"Cita Agendada"
"2025-12-17T20:26:56.178Z","LEAD-1015","Usuario 1015","+34 61 40 66 49","Facebook","Dolor rodilla","B",true,false,"","",false,"",5,11,"Conversación Activa"
"2025-12-17T10:23:56.178Z","LEAD-1092","Usuario 1092","+34 69 28 92 38","Instagram","Dolor rodilla","B",true,false,"","",false,"",9,7,"Conversación Activa"
"2025-12-16T19:03:56.178Z","LEAD-1017","Usuario 1017","+34 68 61 97 24","Google","Pérdida peso","B",true,true,"2025-12-19T09:00:00.000Z","",false,"",6,13,"Cita Agendada"
"2025-12-16T18:22:56.178Z","LEAD-1013","Usuario 1013","+34 69 6 78 49","Instagram","Pérdida peso","B",true,false,"","",false,"",5,20,"Conversación Activa"
"2025-12-16T13:42:56.178Z","LEAD-1044","Usuario 1044","+34 62 63 32 47","Google","Insomnio","A",true,false,"","",false,"",7,14,"Conversación Activa"
"2025-12-16T07:51:56.178Z","LEAD-1040","Usuario 1040","+34 64 80 67 65","Facebook","Dolor rodilla","B",true,true,"2025-12-18T13:00:00.000Z",false,false,"",8,22,"No Asistió"
"2025-12-15T14:59:56.178Z","LEAD-1003","Usuario 1003","+34 62 11 56 10","Instagram","Ansiedad","C",true,false,"","",false,"",3,12,"Conversación Activa"
"2025-12-14T21:26:56.178Z","LEAD-1081","Usuario 1081","+34 61 41 25 69","Facebook","Insomnio","C",false,false,"","",false,"",1,6,"Conversación Activa"
"2025-12-14T13:18:56.178Z","LEAD-1089","Usuario 1089","+34 62 6 69 76","Referidos","Dolor rodilla","B",true,true,"2025-12-15T15:00:00.000Z",true,true,1011,8,14,"Cerró Venta"
"2025-12-14T13:04:56.178Z","LEAD-1037","Usuario 1037","+34 60 30 79 98","Google","Ansiedad","C",true,true,"2025-12-16T15:00:00.000Z",true,false,"",6,8,"No Convirtió"
"2025-12-13T21:43:56.178Z","LEAD-1036","Usuario 1036","+34 62 35 85 38","Referidos","Estrés laboral","B",true,false,"","",false,"",7,8,"Conversación Activa"
"2025-12-13T18:08:56.178Z","LEAD-1012","Usuario 1012","+34 67 99 55 59","Instagram","Pérdida peso","B",true,false,"","",false,"",6,13,"Conversación Activa"
"2025-12-13T12:39:56.178Z","LEAD-1009","Usuario 1009","+34 63 70 80 22","Referidos","Dolor espalda","B",true,false,"","",false,"",5,13,"Conversación Activa"
"2025-12-13T08:41:56.178Z","LEAD-1072","Usuario 1072","+34 61 69 71 55","Instagram","Insomnio","D",true,false,"","",false,"",10,6,"Conversación Activa"
